First_Name	Last_Name	Date_of_birth	Salary	Height
Nathan	Astle	5/18/1971	41000	155
Steve	Finn	5/18/1971	38990	189
Elliot	Luca	5/18/1971	40230	172
Mathew	Haiden	5/18/1971	40230	165
John	Smith	5/18/1971	40230	invalid string
Daniel	Clerk	5/18/1971	40230	190
Nathan	Astle	5/19/1971	41000	155
Nathaniel	Stewert	8/10/1980	31250	125
Allan	Hernandez	1/19/1981	23789	178
Arthur	Harrison	1/29/1982	50500	168
Cameron	White	1/29/1982	47450	170
Harley	Smith	5/21/1988	28500	185
Michael	Johnson	3/26/1990	25280	152
